PLATFORM,ARGOS_ID,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),DEPH LEVEL0 (meter),QC
5200811,127025,2015-11-19T07:00:00Z,24.4482,139.7932,0,001117
5200811,127025,2015-11-19T08:00:00Z,24.4620,139.8108,0,001117
5200811,127025,2015-11-19T09:00:00Z,24.4640,139.8085,0,001117
5200811,127025,2015-11-19T10:00:00Z,24.4640,139.8085,0,001117
5200811,127025,2015-11-19T11:00:00Z,24.5065,139.8203,0,001117
5200811,127025,2015-11-19T12:00:00Z,24.5171,139.8296,0,001117
5200811,127025,2015-11-19T13:00:00Z,24.5317,139.8400,0,001117
5200811,127025,2015-11-19T15:00:00Z,24.5882,139.8517,0,001117
5200811,127025,2015-11-19T16:00:00Z,24.5319,139.8402,0,001447
5200811,127025,2015-11-22T20:00:00Z,25.8713,140.5120,0,001117
